id	Kanji	JLPT-test	"Name of Radical"	"Translation of On"	"Translation of Kun"
1478	転	4	"Kuruma, Kurumahen"	"turn, remove, change"	"roll over, tumble; lie down (on the lawn); be convulsed (with laughter). knock down. fall down "
1480	田	4	"Ta, Tahen"	"rice field, paddy field"	"rice field, paddy field"
1483	電	5	"Ame, Amekanmuri"	electricity	-
1493	土	5	"Tsuchi, Tsuchihen"	"earth, ground; Saturday; Turkey"	"earth, soil, ground"
1496	度	4	Madare	"degree; extent, measure, limit; a time; graduation, scale; composure. save, redeem, reclaim "	"time, occasion; repetition "
1499	冬	4	Suinyoo	winter	winter
1504	東	5	"Ki, Kihen"	east	east
1524	答	4	"Take, Takekanmuri"	answer	"answer; respond; solve. solution"
1536	同	4	"Kuchi, Kuchihen"	"the same, the said, ibid"	"same, identical, equal; uniform; equivalent; similar; common (origin); changeless"
1539	動	4	Chikara	"motion; change; confusion"	"move, stir, shift, shake, swing; operate, run, go, work; be touched, be influenced, waver, fluctuate, vary, change, be transferred. set in motion, inspire, rouse, influence; mobilize; deny "
1540	堂	4	"Tsuchi, Tsuchihen"	"temple; shrine; hall; reception room; firm; state chamber. shop, store"	-
1542	道	4	Shinnyoo	"district, province, prefecture; road  "	"road, path, lane, way, street, highway, route; journey; distance; course, way, means; duty, morality, moral doctrine; teachings; specialty; an art; reason, justice "
1549	特	4	"Ushi, Ushihen"	special	-
1556	読	5	"Gon, Gonben"	reading	"read, peruse; understand, read (one's heart), guess, divine "
1574	南	5	Juu	south	south
1577	二	5	Ni	"two, second"	two
1581	肉	4	"Niku, Nikuzuki"	"flesh, muscles; meat; the flesh; seal pad, ink pad; thickness, succulence "	-
1583	日	5	"Nichi, Nichihen"	"day; Sunday"	"sun; time; day, date"
1584	入	5	Iru	"go in, come in; flow into; set; set in "	"go in, come in; flow into; set; set in. put in, take in, bring in, let in, admit, introduce, commit (to prison), usher in; insert; set (jewels); employ; listen to; tolerate, comprehend; include; pay (interest); cast (votes). enter; break into; join; enroll; contain, hold; accommodate; have (an income of) "
1593	年	5	Ichijuu	"year; term of service"	"year; age, time of life"
1622	売	4	Samurai	selling	"sell, deal in, betray, deceive, impose on, tell on, pick (a quarrel). be in demand, enjoy a large sale; be well known "
1628	買	4	"Kai, Kaihen"	buying	"buy, invest in; incur; appreciate; call in (geisha) "
1630	白	5	Shiro	white	"white, fair (skin); gray (hair); blank (paper); spotless; innocent. feigned ignorance "
1647	八	5	Hachi	eight	eight
1649	発	4	Hatsugashira	"departure; discharge (of a gun)"	-
1656	半	5	Juu	"half; odd number; semi-, hemi-, demi-"	"half, semi-, middle, halfway; partly"
1672	飯	4	"Shoku, Shokuhen"	"cooked rice; meal; food"	"cooked rice; meal; food, livelihood"
1716	百	5	Shiro	"hundred; a great number; all"	-
1726	病	4	Yamaidare	"get sick, be sick, suffer from "	"get sick, be sick, suffer from. illness; bad habit; weakness; passion "
1729	品	4	"Kuchi, Kuchihen"	"refinement, dignity; article "	"article, goods, thing; quality; brand; kind, type; ways, conditions; character "
1736	不	4	Fu	"negation; bad; clumsy; ugly"	-
1738	父	5	Chichi	father	father
1764	風	4	Kaze	"wind; air, look, appearance, bearing, mien, deportment; manners, custom; trend, tone, tendency; way, fashion, manner; style, type; disposition, turn of mind; kind; vein; state, condition "	"wind, storm, breeze, draft, current of air; a cold "
1766	服	4	"Tsuki, Tsukihen"	"dress, costume, clothes, garment, suit, uniform"	-
1777	物	4	"Ushi, Ushihen"	"thing, object, matter; somebody, something, success; reason "	"thing, object, matter; somebody, something, success; reason "
1785	分	5	"Katana, Rittoo"	"dividing; part, segment; share; ration; rate; degree; one's lot, one's status; relation; duty; kind, lot. a minute of time; one-sixtieth of a degree; one-tenth of a momme. rate, part, percentage; one percent; thickness; odds; chance of winning; one-tenth of a shaku; one quarter of a ryo "	"understand, comprehend; know, be known, be identified; be open to reason, be sensible; can tell (what will happen); appreciate; be announced; be discovered; recognize. divide, split, separate; isolate; distribute, share; distinguish; spare. share with; distinguish between. branch off, diverge from, fork; split; be divided; part with; be divorced; bid farewell; break up, disperse, scatter "
1786	文	4	Bun	"1/100 of a hyakume; crest; figures. literary text, production, composition; sentence; style; literature, art; the pen; civil affairs; decoration; characters; elegance "	"letter, note"
1787	聞	5	"Mimi, Mimihen"	"hear, listen to; learn of; inquire; follow advice "	"hear, listen to; learn of; inquire; follow advice. be heard; sound, ring, seem; be well known; be reasonable "
1805	別	4	"Katana, Rittoo"	"divide, split, separate; isolate; distribute, share; distinguish; spare "	"branch off, diverge from, fork; split; be divided; part with; be divorced; bid farewell; break up, disperse, scatter "
1816	勉	4	Chikara	"serve, fill a post, serve under; exert oneself, endeavor, work, be diligent; play (the part of) "	-
1817	歩	4	Tomeru	"step, pace; foot soldier. rate, six feet square, tsubo; change of winning. pawn (in Japanese chess) "	"walk, hike, step"
1823	母	5	"Haha, Hahanokan"	"mother; cause; motive"	"mother; cause; motive"
1829	方	4	"Hoo, Hoohen"	"direction, way; side; part; square; way, method, means, scheme, process "	"direction; settlement; person"
1875	北	5	Hi	north	north
1876	木	5	"Ki, Kihen"	"tree, Thursday"	"tree; wood; timber; lumber; wooden clappers"
